Komentar,Penulis,Likes,Published_at,balasan
p,@ArifuSky07,1,2024-09-22T16:10:25Z,
good job speed i u indonesia,@DodiRobianto-wk8ou,1,2024-09-22T16:09:50Z,
indonesian wonderful amazing island crazy nice ,@chaguyanakintanboy2081,3,2024-09-22T16:09:41Z,
 who you ,@delalilanopulika,1,2024-09-22T16:09:08Z,
,@MarcelMusicaa,1,2024-09-22T16:06:49Z,
,@nao00808,1,2024-09-22T16:02:58Z,
sir money sir ,@rhzddx,1,2024-09-22T16:02:12Z,
ngakak,@hairulazwar6164,1,2024-09-22T16:02:08Z,
 wow delicion rare food i see solid milk and swalow it like jelly hahahaha,@biyahenids,5,2024-09-22T16:01:38Z,ingus asuuuuu
kasian cok liat speed capek bgt rusuh betul kelen,@maegamansyur9757,1,2024-09-22T16:01:07Z,
come november for timnas and you will surprice with indonesian soul,@steamedtiger5223,1,2024-09-22T16:00:33Z,
adduuhhh penyanyi jalanan yg baju putih suaranya ga karuan buang waktu si speed aja dah,@angelicparadiso8038,1,2024-09-22T16:00:01Z,
 i see swallow on coconut juice hahahaha,@biyahenids,14,2024-09-22T15:58:13Z,ingus asuuuuu
indonesian fans literally tortured him as fugg man this is hilarious and fascinating do not expect less from indonesian fans bro ,@PrimaDewi,2,2024-09-22T15:57:48Z,
where is your buko juice when you cry,@biyahenids,1,2024-09-22T15:56:11Z,ingus asuuuuu
ty good man,@flowerrenjer84,2,2024-09-22T15:55:31Z,
anjaayy babang elkecepatan elgonggongi keren bro,@Mas_mas96,1,2024-09-22T15:51:17Z,
terimakasih speed udah datang ke negara terbaik di dunia yaitu indonesia thanks selama hari kalian maafkan penggemar mu disini yang terlalu rusuh see you bro,@vikran04,0,2024-09-22T15:48:19Z,
 rudiger and henry laughing lmao,@ronaldomessi9000,6,2024-09-22T15:45:57Z,
guys please give him the spacepoor the bodyguards and speed sorry for those fomo people,@nurul_jv,0,2024-09-22T15:44:13Z,
,@Btr313,0,2024-09-22T15:42:41Z,
,@Mippa11,0,2024-09-22T15:42:25Z,
indonesia,@rhivazikser1066,0,2024-09-22T15:41:27Z,
we love you speed ,@MapLeagues,0,2024-09-22T15:38:59Z,
ngeri bet zombie nya indo,@Rayaganz,0,2024-09-22T15:38:10Z,
keren saya suka,@plvlogofice2317,0,2024-09-22T15:37:42Z,
hello,@atutupoohpooh,0,2024-09-22T15:36:22Z,
plis guys itu yg naik motor ngapa ngikutin mlu dah udh wehh berlebihannya jgn gt,@sukmaislamiah7085,0,2024-09-22T15:34:39Z,
best stream,@arsendiaenulqodri,0,2024-09-22T15:34:37Z,
i have watched this times and still funny as fuck lmao,@ronaldomessi9000,1,2024-09-22T15:33:03Z,
this ish indonesia ,@dianovakrisnanda,1,2024-09-22T15:32:21Z,
yg pake behel pegang messi siapa dah,@panggilajaibee,0,2024-09-22T15:31:01Z,
rekor baru stream terbanyak viewnya di channel ini,@Tiktok_hot69,0,2024-09-22T15:30:53Z,
you know i got clips from this,@Kaispeedstreams,0,2024-09-22T15:29:08Z,
lehoo na kaluar speed ,@maszuhir,0,2024-09-22T15:28:51Z,
juta penonton gila sih efeck indonesia rekor iso speed,@yantobasenah8386,0,2024-09-22T15:28:43Z,
,@EndangSuryanto-xe7lx,0,2024-09-22T15:22:05Z,
,@EndangSuryanto-xe7lx,0,2024-09-22T15:22:05Z,
dadei goyung dadar gulung bro ,@murnijulinar7580,0,2024-09-22T15:21:31Z,
indonesia is big for like for you el kecepatan,@putabarca15,0,2024-09-22T15:21:16Z,
raza arap bandar tobrut jing,@rafaozora8371,1,2024-09-22T15:19:56Z,
yang ngasih minum bekas parah,@hilpanhidayat824,1,2024-09-22T15:19:26Z,
 pembukaan we are here for all the stream snipers city recommendation for ishowspeed in indonesia turn me up indonesian word apa rumah hantu bisik bisik sesuatu batik from indonesia ramalan ishowspeed united indonesia army man makan gorengan makan nasi padang dangdutan main angklung naik motor alaala karaoke kfc ishowspeed makan ayam dikasih deodoran santai santai santai siap masuk ke rumah hantu speed terkejut terkejut ke x speed mau digigit terkejut ke x terkejut ke x thats you from the beginning you okay call the ambulance apaan itu hahaha record baru sudah ditunggu di luar dan momen siiuuu live stream normal cuman sebentar normal kembali tapi kameranya rusak kata si speed dikasih oleholeh hadiah ribu penonton live stream dikasih baju persija go to bali kata si speed speed minta dibeliin air minum indonesia is currently being on track right now as history as being one of as being the best country in the latest country i have ever been to dikasih baju speed keluar dari mobil jalan kaki lagi rekor terbaru live stream ishowspeed juta penonton lebih di indonesia heboh banget backflip spesial juta penonton anomali bertopeng dikasih air minum sama abang ojol speed minta poster speed kesal kecewa karena situasinya jadi tidak terkendali rusuh speed dan timnya masuk ke dalam mobil speed beli tissu dari si ibu makan dadar gulung speed dan timnya sudah sampai di tujuan dikasih lukisan lola cewe jawa timur cewe gamer kurang kedengeran nama cewenya siapa speed ditelepon sama mamanya speed ketemu si cellos speed vs cellos terakhir dikasih hadiah figur cr speed keluar dan menyapa para penggemarnya dikasih baju portugal x luffy x speed speed berfoto sambil memegang bendera indonesia bersama para penggemar anomali bertopeng gatau kenapa tiba aja mulai lagi deh speed berfoto lagi sambil memegang bendera indonesia bersama para penggemar cosplayer nami cewe berotot cewe basket cewe alaala cyberpunk cewe penari sheran cewe yang nanya makanan cewe medan cosplayer nami datang lagi putri cewe balerina best live stream kata si ishowspeed green apple,@muhammadfazarsaputra5005,1,2024-09-22T15:18:44Z,
this video top one populer your content browwww,@natashaardita263,0,2024-09-22T15:12:46Z,
 ,@soesuhada7080,1,2024-09-22T15:12:00Z,
dy samperin semua orang yaa mo yg jualan yg lagi duduk lagi ngapain trus ngasi duit bagi yg membutuhkan heyyy bigrespect,@astriinsanosumbayak5483,0,2024-09-22T15:11:20Z,
mantap jiwa,@stevenyanuar9915,0,2024-09-22T15:11:01Z,
labuan bajo and papua ,@Kirana_Collection,0,2024-09-22T15:10:52Z,
tong hilap ulin deui k indo ped,@gemaakbar2546,0,2024-09-22T15:08:36Z,
you all are lost if you actually like this guy,@gwaped_up_savage3810,2,2024-09-22T15:04:18Z,
kenape bang,@lenynuryana6211,0,2024-09-22T15:01:54Z,
nepal next speed,@Khadka_shirshak_,0,2024-09-22T15:01:53Z,
its all a hoax theyre afraid that if you arrive in papua the people will convey their aspirations to you and the world will know its all been planned so that your flight to papua is cancelled what a funny country,@ayubkambuaya3665,0,2024-09-22T15:00:16Z,"nyenyenye emng tiket pesawat ke papua itu ga banyak kocak ga bisa dadakan juga

lu klo mau komen cari tau dlu jangan so tau aspirasi apa bang justru kemarin banyak yang mendukung ke papua sebelum dia ke sana jelas survei dulu"
 bros autis,@Gihjhrmnn,1,2024-09-22T15:00:15Z,
reza arab is the best,@denmassumari4123,0,2024-09-22T14:59:52Z,
apa ini gaes,@iwanampel,0,2024-09-22T14:59:39Z,
bro really pulled a green apple lol,@Deoxys_da2,1,2024-09-22T14:57:54Z,
thank you speed,@CeritaAlam-p9i,0,2024-09-22T14:56:05Z,
wanjay speed ke indo,@SusiFirmansyah-f1q,0,2024-09-22T14:54:29Z,
,@dmaazaidnn6827,1,2024-09-22T14:52:37Z,
santaimiskinkamujelex,@MuhammadsalehSaleh-mr6lz,0,2024-09-22T14:52:13Z,santai
,@dmaazaidnn6827,0,2024-09-22T14:52:09Z,
bejir jt,@AzrilMuna,0,2024-09-22T14:52:07Z,
minggir loe miskin,@kenanAnugrah-bw4xf,0,2024-09-22T14:52:00Z,
go in serbia,@DominikStojkovic,0,2024-09-22T14:51:06Z,
minggir lu miskin,@hanifmahdar3767,0,2024-09-22T14:49:31Z,
indonesia lets touch it maybe indonesia doesnt have many fans all of indonesia are fans of ishowspeed all hahaha,@TrendingRNDM,0,2024-09-22T14:46:24Z,
 zombie apocalypse asking nomi numbers green apples,@100KSubscribeWithNoVideo,1,2024-09-22T14:42:43Z,
jakarta norak juga yah,@darsonodarsono6467,0,2024-09-22T14:42:12Z,
speed go kalimantan fart,@Hapdal,0,2024-09-22T14:41:08Z,
this live got so many viewers its cool broo ,@sspxcedchannel2811,0,2024-09-22T14:40:29Z,
selamat juta live streaming,@darsonodarsono6467,0,2024-09-22T14:40:16Z,
when are you excited to go to our country,@Calvin-u4q,0,2024-09-22T14:39:55Z,
indonesia rakyatnya unikbanyak yg g mampu tp d sosmed dmedia yutube nitizen nya gila aktif masifdr situ bs d liat semiskin apa orang indonesia dia bela belain buat beli kuota,@ZarrKajibb-k1h,7,2024-09-22T14:39:47Z,
thank you for coming to jakarta kevin farell picas september ,@TheKevinfarell,0,2024-09-22T14:37:48Z,bulepower indonesia like harrasment country and hate all country old like netherlands and like toxic
 the fuck man hahaha,@SitiHaliza-g5x,2,2024-09-22T14:37:24Z,
you need more time to travelled around indonesia bro from aceh to papua not only jakarta bali and jogja bandung is a city you need to try to its only minutes from jakarta by whoosh the fastest train in east asia,@sidhartasjourney9902,0,2024-09-22T14:36:58Z,
batik from indonesia,@FluppyBoobs,0,2024-09-22T14:36:16Z,
ishowspeed come on to south jakarta now,@Nasi_goreng777,0,2024-09-22T14:35:39Z,
back to indonesia speed we have internet acces,@Vinsensky,0,2024-09-22T14:35:26Z,
plis inpes in mai kantri,@DilaDila-v2k,0,2024-09-22T14:35:15Z,
who is chad anyway he always called chad in his phone,@sidhartasjourney9902,1,2024-09-22T14:34:31Z,
it me speed,@helmistudio1439,0,2024-09-22T14:32:27Z,
best speed stream ever ,@Freacoolize,0,2024-09-22T14:32:06Z,
udah m nih viewer kamu adek speed jadi tinggal di indonesia nggak tapi pajak pendapatan disini mahal lho nanti kamu nangis ,@horok_toyo,1,2024-09-22T14:30:30Z,di us lbh mahal pajak nya dsini gk da papanya dbnding us bro
indonesia,@GhozaliSudin,0,2024-09-22T14:30:08Z,
pengen teriak ke bocil fomo fomo,@Ryzen-d2i,0,2024-09-22T14:29:46Z,
terimakasih sudah berkunjung ke negara kami anda luar biasa ,@Officialcat15,0,2024-09-22T14:29:17Z,
rumah hantunya jadi ga seremm,@Xcz_528,0,2024-09-22T14:25:39Z,
kebanyakan orang fomo anjir ketimbang memang bener bener ngefans sumpah malu maluin ditonton sampe juta kali di seluruh dunia,@officialkreasitvid,2,2024-09-22T14:24:22Z,
gila isshowspeed bisa mainin tempo angklungnya,@junaidipasber7568,3,2024-09-22T14:23:40Z,
siapa dia maaf gk tahu kalau ada yg ksih tahu aku terima kasihpenasaran kok smpai bnyak bgt pengemar nya,@HassaalyaAzzahra,1,2024-09-22T14:23:17Z,
the fastest streamsniper,@nohadanubratawidodo6756,0,2024-09-22T14:23:04Z,
speed you need mask or helmet to coverup your face,@dhanysofyan3620,0,2024-09-22T14:22:03Z,
w w w w w,@KuroShiro-o8q,0,2024-09-22T14:21:46Z,
m ahuet,@benimaru1427,0,2024-09-22T14:19:23Z,
 got me,@Moondropinfinity,8,2024-09-22T14:19:08Z,
w indonesia,@adelaksmanaa,0,2024-09-22T14:15:51Z,
to much city and island in indonesia you must going there,@ferykurniawan926,0,2024-09-22T14:10:39Z,
speed sigma,@KairiproKairipro,0,2024-09-22T14:08:28Z,
stronger indonesian,@muchlissdwifajar2843,0,2024-09-22T14:07:06Z,
jakarta is the best ,@Perampok04,1,2024-09-22T14:05:32Z,i agree thx for supporting indonesia perampok
and i didnt know that the chat broke because i wasnt there,@sulastri3685,0,2024-09-22T14:05:26Z,
stopped ,@Axnnal,0,2024-09-22T14:04:25Z,
can you go to pakistan please speed please,@AsadAli-df4zt,0,2024-09-22T14:04:05Z,
wow wow woww aku tidak percaya speed datang ke indonesia ku dengan orang orang yg ramah dan baik hatistay safe bro ,@senpaigamingtv8125,0,2024-09-22T14:03:02Z,
i live in indonesia jakarta kebayoran lama no pondok pinang jakarta selatan,@sulastri3685,0,2024-09-22T14:02:16Z,
speed kerumah aku dongggg,@putrihaidah6732,0,2024-09-22T13:57:45Z,
terima kasih sdh berkunjung ke indonesia,@mainanbalita6426,0,2024-09-22T13:56:53Z,btw dia nanti ke papua katanya nunggu jadwal dia ngomong pas di live singapura
u are so funny bro btw thanks for visit to indonesia enjoy speed ,@golden839,0,2024-09-22T13:55:43Z,
l indonesia,@RainbowPlaysRoblox-r4g,0,2024-09-22T13:55:24Z,
,@LenQelen,0,2024-09-22T13:52:58Z,
,@flexingch2132,0,2024-09-22T13:52:57Z,
durgsudvueyggdgryryhryrryrryryryryryryyreyrnyfeni,@NayNay-f6v,0,2024-09-22T13:51:04Z,
the most crazy moment in speeds livestream i think is on this and this lol,@qalamahmadkhazain6220,0,2024-09-22T13:49:13Z,
gak jelas banget tukang kfc tiba cr,@maulanaahmad4205,0,2024-09-22T13:49:02Z,
porn hup guy was another level ,@yems_yt_1024,1,2024-09-22T13:47:19Z,
ewe,@amuresains4728,0,2024-09-22T13:46:37Z,
lucu banget ,@monika1105,0,2024-09-22T13:46:29Z,
,@seidsakiri1372,1,2024-09-22T13:44:44Z,
 real fans fomo,@MobaExe-nc5gs,0,2024-09-22T13:44:28Z,
,@shaziaqaireenanjea9011,0,2024-09-22T13:41:23Z,
walcome to indonesian bro ,@Boyah7th-uu7mo,1,2024-09-22T13:38:57Z,
,@shaziaqaireenanjea9011,0,2024-09-22T13:38:07Z,
,@medydian748,1,2024-09-22T13:36:43Z,
ngl part in jakarta still the best bro,@Aswadz13,1,2024-09-22T13:36:00Z,
mati kutu malaysia kena ulti batik langsung dari jogja,@gregoryoalvin1934,2,2024-09-22T13:34:47Z,
anjay bangggg,@Keyyyyyy7,0,2024-09-22T13:32:27Z,
ngomong opo to leelee,@msultanagung9252,0,2024-09-22T13:32:02Z,
lord of the indonesia ,@agoose1124,0,2024-09-22T13:32:01Z,
dud im literally in bali but did he in jakarta,@anggieginting,0,2024-09-22T13:30:33Z,
berkumpulnya para netizen di irl,@Rin_Hikariひかりん,0,2024-09-22T13:29:39Z,
do you no come to jakarta,@YukaElnort,0,2024-09-22T13:29:22Z,
singkat padat apasii,@tiasari6445,0,2024-09-22T13:25:01Z,
aaaaaaa ishowspeed perkenalkan country indonesia is lampir grammanenek lampir is childbocil kematian is batekalias batik uhishowspeedi wanna gift information you now viral btw i guess you love indonesianplissss to bali to is rendang rice btw motorcyle not free just m hehe and car is m you now in news tv im sorry for warga is rusuhbeteangry and dll btw ty for read,@Itszy_rika184,3,2024-09-22T13:24:14Z,
ishow speed zombie indoneisia ,@JLrifki,0,2024-09-22T13:23:18Z,
 speedrun found speed,@camellganteng,0,2024-09-22T13:17:24Z,
ke kota probolinggo bang speed,@myzahro4883,0,2024-09-22T13:15:18Z,
mantappp ,@murnijulinar7580,0,2024-09-22T13:12:28Z,
trending ,@paidexrawk9722,0,2024-09-22T13:10:42Z,
indonesia,@BCBS-xn7vw,0,2024-09-22T13:10:39Z,
k,@dilah777,0,2024-09-22T13:06:08Z,
where have you been who knows maybe well meet and if i may id like to take a photo with you i hope youre always healthy,@Nudie-lw1xd,0,2024-09-22T13:04:24Z,
welcome indonesia,@pututsubianto7846,0,2024-09-22T13:04:18Z,
what about jakarta,@nael2302,0,2024-09-22T12:59:51Z,
,@jallodeleongultom8309,1,2024-09-22T12:59:45Z,
goodddd,@alfatirakmal9187,0,2024-09-22T12:58:59Z,
come to maluku bro siuuu,@paparipiauraikhie2033,0,2024-09-22T12:58:52Z,
laho,@inhaparamitha8124,0,2024-09-22T12:58:44Z,
watafak why kiss the ghost and ghost is women brooo ,@KUCING_OYEN2,0,2024-09-22T12:58:15Z,
kok ga ada naminya ya,@FahmiPrasetya-m3x,0,2024-09-22T12:57:30Z,
ishowspeed please come to central sulawesi in north morowali beteleme church hallway meet me there please and give me dollar please ,@RianDumala,0,2024-09-22T12:56:42Z,
w,@RolandoCapilitan-l8l,0,2024-09-22T12:54:55Z,
el kecepatan,@FebRiaShorts,0,2024-09-22T12:49:22Z,
sumpah gw liat live ini gw yang malu gara gara kelakuan norak orang indo,@halo6966,1,2024-09-22T12:48:34Z,"yang dikejar kejar bukan elu,kok elu yng malu wkwk,sadar diri aja sih"
 hari ini al geler speddsedang berada di negara lite isrelsi ng po real geler spedd sudah menayangkan siaran langsungnya hanya beberapa menit saja disanatraileral geler spedd kemungkinannya menjadi duta promosi pagelaranfyang berada disanasi ng po re country lite is ra el al geler spedd tidak merdeka dalam siaran langsungnya,@MahklukBumi-lu5pp,0,2024-09-22T12:46:09Z,
banyak viewersdari indonesia vidio sudah jt penonton,@RANDUGUMBOLO_JEMBER,0,2024-09-22T12:45:40Z,
wellcome to our country speed siu,@rudihartono1800,0,2024-09-22T12:45:32Z,
hallo speed am from indonesian thank you for visiting my country,@apriliantoakbar4653,0,2024-09-22T12:45:25Z,
httpsyoutubecomshortscupnisiukywmfqjwxrbuf,@Funnyspeed07,0,2024-09-22T12:43:45Z,
httpsyoutubecomshortscupnisiukywmfqjwxrbuf,@Funnyspeed07,0,2024-09-22T12:43:34Z,
trending number one view indonesia ,@af_official4,0,2024-09-22T12:42:23Z,
siapa sih dia,@blossomcherry6650,0,2024-09-22T12:41:38Z,temannya mr beast
most viewed live stream in the channel lets goo indonesia ,@GipranHendra,0,2024-09-22T12:40:16Z,
 nami,@PejuangPalestina1,0,2024-09-22T12:39:26Z,
you are funny boy,@budimargarito989,0,2024-09-22T12:38:52Z,
wow,@HamzahElfatih-z5p,0,2024-09-22T12:36:16Z,
nice,@Somaliaboy12,0,2024-09-22T12:35:52Z,
bro got stream snipe,@thomasmubok5929,0,2024-09-22T12:35:51Z,
u,@M.afganraihan123,0,2024-09-22T12:34:05Z,
buset sesak bgt jadi org terkenal,@deamaherr4632,0,2024-09-22T12:33:36Z,
loll,@HSKING-f6l,0,2024-09-22T12:32:59Z,
 i love messi speed yo what what did u say to me also at ,@normalperson325,5,2024-09-22T12:32:51Z,
 wleeeeee ,@Bernkastel779,0,2024-09-22T12:32:47Z,
aku senang lihat anakanak indonesia ku percaya diri tertawa dan bahagia bersama tamunya pesan ini untuk anakanak indonesia ku membuat konten itu harus percaya diri jadi diri mu sendiri jangan ikutikutan viral itu tidak berkarakter namanya karena masingmasing kamu itu unik punya kelebihan sendirisendiri ratu adil,@Devina-dn3jo,1,2024-09-22T12:31:03Z,
kamu harus ke papua speed papua best papua safe,@andipangerananggarkusuma5766,0,2024-09-22T12:29:30Z,
 malah di masukin lagi ingus nya,@Ojix_Begins,0,2024-09-22T12:27:49Z,
ngeri,@azizchannelnew,0,2024-09-22T12:27:09Z,
banjarmasin kalimantan,@benben-uh6nv,0,2024-09-22T12:25:31Z,bocah ff
indonesia penonton terbanyak ,@af_official4,0,2024-09-22T12:25:10Z,
way bigger,@alexandreabsil4934,0,2024-09-22T12:24:52Z,thats what she said
papua guy,@jonijones2269,0,2024-09-22T12:24:29Z,
nami ,@urangpantaichannel5687,1,2024-09-22T12:22:36Z,
indonesia lebih baik daripada malay,@ikhsanikhsan5788,2,2024-09-22T12:20:15Z,"jangan macam tu ,konoha"
 ,@Dimas15392,0,2024-09-22T12:16:12Z,
 big w speed for the respect ,@HolyNaga96,7,2024-09-22T12:16:01Z,
if only bali and jogja have the same entertainment with the first an hour of this stream,@jamalfromohioo,5,2024-09-22T12:15:08Z,"million people compare to  million is crazy bro but respect asyrafsahar we dont compare at first, a thousanda malay keep saying bad about indo thats why we react like this"
 ,@Dimas15392,0,2024-09-22T12:15:06Z,
el kecepatan,@Dimas15392,0,2024-09-22T12:14:42Z,
 karyawannya sempetnyq bilang cristiano ronaldo,@Judhys,1,2024-09-22T12:13:30Z,ngakak  speed nya sampe marah
hello i am form in,@januarpandupratama.9399,0,2024-09-22T12:10:41Z,
no video in ishowspeed career insane,@dangdutgasmtv,3,2024-09-22T12:07:22Z,
kenapa no singa pore,@maryonomaryono7220,0,2024-09-22T12:05:24Z,bang ishowsed kapan livestream in tangerang   papua gak boleh livestream katanya ohh gitu brooo
dd men,@maryonomaryono7220,0,2024-09-22T12:04:23Z,bang ishowsed kapan livestream in tangerang   papua gak boleh livestream katanya ohh gitu brooo
thank you bro your best thank to promoted indonesia,@andriclassmild8029,0,2024-09-22T12:03:41Z,
httpsyoutubeibinvissinlmkaimishfqdp,@RacingGenk1988,2,2024-09-22T12:00:47Z,
 this is kiri kiri ,@n.bilaff,2,2024-09-22T11:59:01Z,
speed go to kalimantan selatan banjarmasin good,@awyreview4866,0,2024-09-22T11:58:24Z,
 outside,@n.bilaff,0,2024-09-22T11:56:36Z,
phyccopath laughing,@RARACHAN-12,0,2024-09-22T11:53:51Z,
indonesia m viewer,@opiksetiawan3813,0,2024-09-22T11:51:27Z,
nihh cewek gk bisa nyanyi,@iceloves9436,1,2024-09-22T11:50:33Z,
,@smolpncraft,0,2024-09-22T11:49:59Z,
,@evamaulida6031,0,2024-09-22T11:49:25Z,
cuman pertanyaan saya kenapa gak nyewa tukang terjemahan,@wanntzy5306,0,2024-09-22T11:41:40Z,
kok g ge kalimantan blum jumpa pj,@AeniLutfi,0,2024-09-22T11:40:46Z,
halo aku dari indonesia,@RizkyAditia-mo9rs,0,2024-09-22T11:39:32Z,
million views ,@nicowijaya8180,0,2024-09-22T11:37:04Z,
eating food from strangersgood luck,@JimmyJameson-i6i,0,2024-09-22T11:36:37Z,
come kalimantan speed,@nugrahafamilycihuy2505,0,2024-09-22T11:36:20Z,
,@Hikam-tf8qc,1,2024-09-22T11:32:50Z,
gila langsung ada medyrenaldi disitu liat anu ya ronaldo wwkkw,@AkbarZein-y9q,2,2024-09-22T11:32:30Z,
lu siapa zinc ga penting,@eris4986,0,2024-09-22T11:32:29Z,
 nahhh,@GOJO4123,2,2024-09-22T11:32:00Z,
minta nomor nami anjirr,@delonkoresi2466,1,2024-09-22T11:31:49Z,
ah gk asik yg komentar org indo semua,@doyokkintil1699,1,2024-09-22T11:31:44Z,
eheheh wkwkwk ,@Dino.Z7,1,2024-09-22T11:30:37Z,
hi i from indonesia,@emiliayani5050,1,2024-09-22T11:28:59Z,
 indonesia might beat philippines,@ChristianObdianela-uy3ov,0,2024-09-22T11:28:05Z,
welcome to indonesia trending,@lurikazuya7353,0,2024-09-22T11:25:27Z,
please explore all indonesian cities ,@YusaRatna1506,0,2024-09-22T11:22:58Z,
 apasih ,@RavinGaming24GD,0,2024-09-22T11:20:57Z,
aing kasep pisan,@yannn2206,0,2024-09-22T11:20:48Z,
gak papa kan aku pake bahasa indonesia,@oktriodoli3519,0,2024-09-22T11:15:56Z,
speed will never comeback to indon again ,@andibondan2877,0,2024-09-22T11:15:01Z,"malon kuat iri dengki speed keliling indonesia berhari hari dmalon speed tak kesah krisis indentitas video viewers terbanyak dlm karir dia di indonesia skr, silahkan cek video dia semua ini yg terbanyak kawan akn dijadikan basecamp dia indonesia   saya jamin"
i love you indonesia ,@NanaApriana-ov2bh,1,2024-09-22T11:13:29Z,
 speed omaigaat,@mirvaputra8257,0,2024-09-22T11:13:05Z,
watefakk milion likee,@worldmusic110,0,2024-09-22T11:12:28Z,
termasuk orang sabar banget bodyguard nya,@Rendinvn99,0,2024-09-22T11:12:20Z,
,@GrolGtro,0,2024-09-22T11:11:52Z,
i live in indonesia,@mbahrobiyyah6352,1,2024-09-22T11:11:09Z,
i am no ronaldo i am like messi,@aimar3548,0,2024-09-22T11:09:48Z,
heboh banget ni orang setu keknya kalo jadi temennya,@yoonjeonghan3941,0,2024-09-22T11:08:52Z,
ishospeet as you see tis i support you te ader ishospeet is stupit i hacker hem ent i prank you time sorry,@isabellevansteenberghe348,0,2024-09-22T11:07:57Z,
the gout nami lemme drink those milk,@xianpablo,1,2024-09-22T11:06:49Z,
 bro got pranked ,@phiettermarcelinosali7316,2,2024-09-22T11:05:04Z,
,@SophavyRin,1,2024-09-22T10:59:59Z,
,@SophavyRin,0,2024-09-22T10:59:37Z,
 ngakak bocilnya,@nizambg_yt230Dakwah,2,2024-09-22T10:58:44Z,
,@SophavyRin,0,2024-09-22T10:57:54Z,
 speed enjoy angklung ,@iamonbusiness7582,0,2024-09-22T10:57:32Z,
,@SophavyRin,0,2024-09-22T10:57:25Z,
ngakak brutal ,@inhovmamendjr8871,0,2024-09-22T10:55:48Z,
,@vovogaming5587,0,2024-09-22T10:55:04Z,
most viewed speed live stream,@mataram909,0,2024-09-22T10:54:43Z,
orang indonesia absen dong,@MadeRasta-yg4ze,1,2024-09-22T10:53:15Z,
speed lombok komodo island labuan bajo indonesia fart,@Hapdal,0,2024-09-22T10:52:39Z,
lol,@FauziMaulana-m8w,0,2024-09-22T10:52:16Z,
jawir bagian barat,@EPICGames-vn6cl,0,2024-09-22T10:51:54Z,
streaming nya kacau saat di singapore,@vorstcavry958,0,2024-09-22T10:51:46Z,
hai ishowspeed aku dari bali,@natalisaputri,0,2024-09-22T10:50:06Z,
aku mw nami,@jabarfirdaus6653,0,2024-09-22T10:44:18Z,
bodyguardnya kena mental njagain speed di indonesia,@diarpratama6547,0,2024-09-22T10:43:39Z,
,@devipravitarini345,0,2024-09-22T10:38:24Z,
halo om,@candrafalukas2820,0,2024-09-22T10:38:03Z,
team malaysia but im filipino but u still vote for malaysia in the next asia one,@ZakirnaikAiyub,0,2024-09-22T10:36:50Z,
jangan norak guys udah kesel dan bete banget dia tuh muka nya krna kalian kekepin sampai terjepitt gak bisa nafas dia ,@AqiLaa0808,0,2024-09-22T10:34:30Z,
keluar ingusnya ,@BRORIDHO987,2,2024-09-22T10:34:01Z,
hi el kecepatan come to papua you wont find crowds of people chasing you you can freely explore the natural beauty and culture of papua you will not regret ever coming to papua,@satriyojati2757,51,2024-09-22T10:32:50Z,"belum tentu karena mereka juga yang pasti nya ikutin si speed sampai ke papua lu ngomong gitu percuma, speed kalo ga nyari crowd gausa live, speed nyari crowd walau dia kesel, itu gimmick"
,@AlvianMahedra,0,2024-09-22T10:32:12Z,
galer,@ajisetiawan2257,0,2024-09-22T10:32:01Z,
nih anomali hub,@BERANDALXD,1,2024-09-22T10:29:29Z,
mr speedyyy,@user-xz6om1tl1q,0,2024-09-22T10:28:08Z,
 best part,@brutsss_,1,2024-09-22T10:26:39Z,
it worst ever please banget lah minimal kasi ruang buat jalandia kek udah mau pingsan aja ditengah kerumunan jadi ga banyak ngomong dan exploresibuk berusaha keluar dari kerumunan doang,@debisindwi3494,78,2024-09-22T10:23:31Z,"ya gmn namanya live ga bisa di kontrol emang ciri khasnya gitu dianya aja rame ga se worst itu si bro, aku sebagai yg nonton smua stream irl dia emng rata kaya gitu semua sih, namanya juga live kan, km psti bocil fomo yg baru nonton sekali"
w,@KEN-tp8di,1,2024-09-22T10:22:29Z,
absen,@awmoko,0,2024-09-22T10:21:49Z,
bro pertama langsung ketemu rekor baru dari indo jir qkwkqk,@Kaizen22hx,2,2024-09-22T10:21:14Z,
,@andrahanan5796,0,2024-09-22T10:20:50Z,
 the guyhahahahahahahahahahahahahahahah,@Rehan_Gamers12,1,2024-09-22T10:19:46Z,
reza arap behind scene salute,@Istirahat_sejen4k,1,2024-09-22T10:14:50Z,
norak penyanyi akustik kota tua,@fahdimarruska7572,0,2024-09-22T10:12:57Z,
hai saya dari indonesia,@DimasAlfareza-o5t,1,2024-09-22T10:12:17Z,
feel the beat ,@ivanoglory,0,2024-09-22T10:10:47Z,
 w henry,@GoalGlance7,1,2024-09-22T10:10:37Z,
 bro speed run,@DaffaShaki,0,2024-09-22T10:08:16Z,
okeeee malingsiaaa you are very very bastard yooooooooo,@ava0607,0,2024-09-22T10:08:11Z,
,@vladmoraru26262,1,2024-09-22T10:06:36Z,
apalagi nanti kalo jaringan udeh g,@RifaOnGaming,0,2024-09-22T10:04:32Z,
lu nanya are you speak indonesia dia aja baru itu ke indonesia ,@iz9465,0,2024-09-22T09:59:24Z,
 ,@tumpalsitohang-s7b,0,2024-09-22T09:59:03Z,
i love the way that one woman said apaan sih she just think speed just another man so asik ,@deltagroup-s5j,0,2024-09-22T09:57:45Z,
